sku,model,series,description,base_price,manufacturer,is_active
BB1100BB1100,BB1100,BB1100,BB1100 4-1/2” x,4.0,hager,True
BB1100AWS,BB1100,BB1100,BB1100 Other than listed above,4.0,hager,True
BB1100ABOVE,BB1100,BB1100,BB1100 AMS &,1.0,hager,True
BB1100WS,BB1100,BB1100,BB1100 All,3.0,hager,True
BB1100ALL,BB1100,BB1100,BB1100 AWS &,1.0,hager,True
BB1100MS,BB1100,BB1100,BB1100 All,4.0,hager,True
BB1100ALL,BB1100,BB1100,BB1100 AWS &,1.0,hager,True
BB1100MS,BB1100,BB1100,BB1100 All,5.0,hager,True
BB1100ALL,BB1100,BB1100,BB1100 AMS &,1.0,hager,True
BB1100AWS,BB1100,BB1100,BB1100 Note: Hinge additions listed on pages,5.0,hager,True
BB1100SCREWS,BB1100,BB1100,BB1100 Contract grade hinges size,4.0,hager,True
BB1100WOOD,BB1100,BB1100,BB1100 SCREWS,1.0,hager,True
BB1100STEEL,BB1100,BB1100,BB1100 MACHINE SCREWS,12.0,hager,True
BB110024,BB1100,BB1100,BB1100 x,1.0,hager,True
BB1100FINISH,BB1100,BB1100,BB1100 LIST (100/BOX),1.0,hager,True
BB1100810-5824,BB1100,BB1100,BB1100 US3,1.0,hager,True
BB1100800-7225,BB1100,BB1100,BB1100 US3,1.0,hager,True
BB1100810-5952,BB1100,BB1100,BB1100 US4,1.0,hager,True
BB1100800-7275,BB1100,BB1100,BB1100 US4,1.0,hager,True
BB1100810-6208,BB1100,BB1100,BB1100 US10,1.0,hager,True
BB1100800-7375,BB1100,BB1100,BB1100 US10,1.0,hager,True
BB1100810-6336,BB1100,BB1100,BB1100 US10A/US10B,1.0,hager,True
BB1100800-7425,BB1100,BB1100,BB1100 US10A (US11)/US10B,1.0,hager,True
BB1100810-6848,BB1100,BB1100,BB1100 US26,1.0,hager,True
BB1100800-7575,BB1100,BB1100,BB1100 US26,1.0,hager,True
BB1100810-5696,BB1100,BB1100,BB1100 US26D,1.0,hager,True
BB1100800-7175,BB1100,BB1100,BB1100 US26D,1.0,hager,True
BB1100810-6976,BB1100,BB1100,BB1100 USP,1.0,hager,True
BB1100800-7625,BB1100,BB1100,BB1100 USP,1.0,hager,True
BB1100810-7232,BB1100,BB1100,BB1100 L1,1.0,hager,True
BB1100L1,BB1100,BB1100,BB1100 WOOD SCREWS,1.0,hager,True
BB1100BRASS,BB1100,BB1100,BB1100 MACHINE SCREWS,12.0,hager,True
BB110024,BB1100,BB1100,BB1100 x,1.0,hager,True
BB1100FINISH,BB1100,BB1100,BB1100 LIST (100/BOX),1.0,hager,True
BB1100811-5824,BB1100,BB1100,BB1100 US3,1.0,hager,True
BB1100801-7225,BB1100,BB1100,BB1100 US3,1.0,hager,True
BB1100811-5952,BB1100,BB1100,BB1100 US4,1.0,hager,True
BB1100801-7275,BB1100,BB1100,BB1100 US4,1.0,hager,True
BB1100811-6208,BB1100,BB1100,BB1100 US10,1.0,hager,True
BB1100801-7375,BB1100,BB1100,BB1100 US10,1.0,hager,True
BB1100811-6336,BB1100,BB1100,BB1100 US10A/US10B,1.0,hager,True
BB1100801-7425,BB1100,BB1100,BB1100 US10A (US11)/US10B,1.0,hager,True
BB1100811-6848,BB1100,BB1100,BB1100 US26,1.0,hager,True
BB1100801-7575,BB1100,BB1100,BB1100 US26,1.0,hager,True
BB1100811-5696,BB1100,BB1100,BB1100 US26D,1.0,hager,True
BB1100801-7175,BB1100,BB1100,BB1100 US26D,1.0,hager,True
BB1100811-6976,BB1100,BB1100,BB1100 USP,1.0,hager,True
BB1100801-7625,BB1100,BB1100,BB1100 USP,1.0,hager,True
BB1100811-7232,BB1100,BB1100,BB1100 L1,1.0,hager,True
BB1100L1,BB1100,BB1100,BB1100 WOOD SCREWS,1.0,hager,True
BB1100STEEL,BB1100,BB1100,BB1100 MACHINE SCREWS,12.0,hager,True
BB110024,BB1100,BB1100,BB1100 x,1.0,hager,True
BB1100FINISH,BB1100,BB1100,BB1100 LIST (100/BOX),1.0,hager,True
BB1100813-2500,BB1100,BB1100,BB1100 US32,1.0,hager,True
BB1100803-2500,BB1100,BB1100,BB1100 US32,1.0,hager,True
BB1100813-2499,BB1100,BB1100,BB1100 US32D,1.0,hager,True
BB1100803-2499,BB1100,BB1100,BB1100 US32D,149.73,hager,True
BB1100PER,BB1100,BB1100,BB1100 box,149.73,hager,True
BB1100PER,BB1100,BB1100,BB1100 box,149.73,hager,True
BB1100PER,BB1100,BB1100,BB1100 box,149.73,hager,True
BB1100PER,BB1100,BB1100,BB1100 box,149.73,hager,True
BB1100PER,BB1100,BB1100,BB1100 box,149.73,hager,True
BB1100PER,BB1100,BB1100,BB1100 box,149.73,hager,True
BB1100PER,BB1100,BB1100,BB1100 box,149.73,hager,True
BB1100PER,BB1100,BB1100,BB1100 box,148.93,hager,True
BB1100PER,BB1100,BB1100,BB1100 box,148.93,hager,True
BB1100PER,BB1100,BB1100,BB1100 box,297.99,hager,True
