sku,model,series,description,base_price,manufacturer,is_active
SL11-CL-HD300-83,SL11,SL,"SL11 CL HD300 83""",167.0,SELECT Hinges,True
SL11-CL-HD300-95,SL11,SL,"SL11 CL HD300 95""",204.0,SELECT Hinges,True
SL11-CL-HD600-79,SL11,SL,"SL11 CL HD600 79""",193.0,SELECT Hinges,True
SL11-CL-HD600-83,SL11,SL,"SL11 CL HD600 83""",193.0,SELECT Hinges,True
SL11-CL-HD600-95,SL11,SL,"SL11 CL HD600 95""",246.0,SELECT Hinges,True
SL11-CL-HD600-120,SL11,SL,"SL11 CL HD600 120""",383.0,SELECT Hinges,True
SL11-CL-LL-83,SL11,SL,"SL11 CL LL 83""",226.0,SELECT Hinges,True
SL11-CL-LL-95,SL11,SL,"SL11 CL LL 95""",331.0,SELECT Hinges,True
SL11-CL-LL-120,SL11,SL,"SL11 CL LL 120""",457.0,SELECT Hinges,True
SL11-BR-HD300-83,SL11,SL,"SL11 BR HD300 83""",203.0,SELECT Hinges,True
SL11-BR-HD300-95,SL11,SL,"SL11 BR HD300 95""",265.0,SELECT Hinges,True
SL11-BR-HD600-83,SL11,SL,"SL11 BR HD600 83""",249.0,SELECT Hinges,True
SL11-BR-HD600-95,SL11,SL,"SL11 BR HD600 95""",312.0,SELECT Hinges,True
SL11-BR-HD600-120,SL11,SL,"SL11 BR HD600 120""",501.0,SELECT Hinges,True
SL11-BR-LL-83,SL11,SL,"SL11 BR LL 83""",312.0,SELECT Hinges,True
SL11-BR-LL-95,SL11,SL,"SL11 BR LL 95""",384.0,SELECT Hinges,True
SL11-BR-LL-120,SL11,SL,"SL11 BR LL 120""",576.0,SELECT Hinges,True
SL11-BK-HD300-83,SL11,SL,"SL11 BK HD300 83""",212.0,SELECT Hinges,True
SL11-BK-HD300-95,SL11,SL,"SL11 BK HD300 95""",278.0,SELECT Hinges,True
SL11-BK-HD600-83,SL11,SL,"SL11 BK HD600 83""",261.0,SELECT Hinges,True
SL11-BK-HD600-95,SL11,SL,"SL11 BK HD600 95""",328.0,SELECT Hinges,True
SL11-BK-HD600-120,SL11,SL,"SL11 BK HD600 120""",526.0,SELECT Hinges,True
SL11-BK-LL-83,SL11,SL,"SL11 BK LL 83""",328.0,SELECT Hinges,True
SL11-BK-LL-95,SL11,SL,"SL11 BK LL 95""",403.0,SELECT Hinges,True
SL11-BK-LL-120,SL11,SL,"SL11 BK LL 120""",605.0,SELECT Hinges,True
SL11-BK-LL-79,SL11,SL,"SL11 BK LL 79""",83.0,SELECT Hinges,True
SL12-CL-HD600-79,SL12,SL,"SL12 CL HD600 79""",202.0,SELECT Hinges,True
SL12-CL-HD600-83,SL12,SL,"SL12 CL HD600 83""",246.0,SELECT Hinges,True
SL12-CL-HD600-95,SL12,SL,"SL12 CL HD600 95""",378.0,SELECT Hinges,True
SL12-BR-HD600-79,SL12,SL,"SL12 BR HD600 79""",246.0,SELECT Hinges,True
SL12-BR-HD600-83,SL12,SL,"SL12 BR HD600 83""",305.0,SELECT Hinges,True
SL12-BR-HD600-95,SL12,SL,"SL12 BR HD600 95""",468.0,SELECT Hinges,True
SL12-BR-HD600-120,SL12,SL,"SL12 BR HD600 120""",120.0,SELECT Hinges,True
SL14-CL-HD300-79,SL14,SL,"SL14 CL HD300 79""",169.0,SELECT Hinges,True
SL14-CL-HD300-83,SL14,SL,"SL14 CL HD300 83""",169.0,SELECT Hinges,True
